Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2Ov2,2v2,v1,v3	Water	961.39119920, 961.39119920	18(4,15),v2=2-17(5,12),v2=2	-16.44500		7463.3969	10738.1776	JPL
HDO	Water	961.81476830, 961.81476830	14(3,11)-15(1,14)	-7.34910		1814.3188	2610.3850	JPL
H2Ov2,2v2,v1,v3	Water	961.89797980, 961.89797980	12(4,8),v2=2-11(2,9),v3=1	-14.78800		5418.8035	7796.4598	JPL
H2Ov2,2v2,v1,v3	Water	962.72430450, 962.72430450	18(2,16),v1=1-18(3,15),v2=2	-18.14500		7490.9879	10777.8749	JPL
H2Ov=0	Water	963.27260650, 963.27260650	20(5,15)-19(8,12)	-12.97970		5481.1022	7886.0939	JPL
H2Ov2,2v2,v1,v3	Water	964.12555540, 964.12555540	8(2,7),v1=1-9(3,6),v2=2	-13.16880		4493.8043	6465.5906	JPL
H2Ov2,2v2,v1,v3	Water	965.07286300, 965.07286300	18(2,16),v3=1-17(4,13),v1=1	-19.12370		7597.8172	10931.5786	JPL
H2Ov2,2v2,v1,v3	Water	965.46258570, 965.46258570	8(3,6),v1=1-9(4,5),v2=2	-13.20440		4611.7948	6635.3528	JPL
H2Ov2,2v2,v1,v3	Water	966.40853050, 966.40853050	13(3,11),v2=2-12(4,8),v2=2	-12.71740		5450.8890	7842.6238	JPL
H2Ov=0	Water	968.03062010, 968.03062010	25(5,20)-24(8,17)	-17.55680		7999.0128	11508.8104	JPL
H2Ov2,2v2,v1,v3	Water	968.04697600, 968.04697600	8(2,7),v2=1-7(3,4),v2=1	-6.16860		2462.8753	3543.5329	JPL
HDO	Water	969.37028650, 969.37028650	10(5,5)-11(3,8)	-6.05830		1206.7544	1736.2404	JPL
H218Ov=0	Water	970.27204050, 970.27204050	4(2,2)-3(3,1)	-2.32350		282.0946	405.8689	JPL
H2Ov=0	Water	970.31504500, 970.31504500	5(2,4)-4(3,1)	-2.32130		383.8425	552.2645	JPL
H2Ov2,2v2,v1,v3	Water	971.52134690, 971.52134690	24(6,18),v=0-25(1,25),v2=1	-19.10880		7715.6692	11101.1416	JPL
H2Ov2,2v2,v1,v3	Water	973.85454490, 973.85454490	18(5,13),v2=2-17(5,12),v3=1	-18.51940		7871.7373	11325.6891	JPL
