Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
D2O	Water	11391.54435500, 11391.54435500	10(9,2)-10(6,5)	-4.79630		1002.8062	1442.8061	CDMS
D2O	Water	11394.09333630, 11394.09333630	21(8,14)-21(5,17)	-6.46090		3023.5329	4350.1644	CDMS
D2O	Water	11394.09489480, 11394.09489480	21(8,14)-21(5,17)	-6.45650		3023.5330	4350.1645	CDMS
D2O	Water	11433.74250210, 11433.74250210	20(7,14)-20(4,17)	-6.14130		2641.6437	3800.7142	CDMS
D2O	Water	11433.74411630, 11433.74411630	20(7,14)-20(4,17)	-6.14580		2641.6436	3800.7140	CDMS
D2O	Water	11434.34238800, 11434.34238800	20(9,12)-20(6,15)	-6.60460		2904.7806	4179.3073	CDMS
D2O	Water	11434.34489840, 11434.34489840	20(9,12)-20(6,15)	-6.60030		2904.7806	4179.3073	CDMS
D2O	Water	11434.48792220, 11434.48792220	20(9,12)-19(8,11)	-4.57250		2904.7758	4179.3004	CDMS
D2O	Water	11434.48839540, 11434.48839540	20(9,12)-19(8,11)	-4.57710		2904.7757	4179.3002	CDMS
D2O	Water	11436.96296590, 11436.96296590	15(14,1)-14(13,2)	-3.87230		2683.7620	3861.3127	CDMS
D2O	Water	11436.96296590, 11436.96296590	15(14,1)-14(13,2)	-3.57120		2683.7620	3861.3127	CDMS
D2O	Water	11436.96798330, 11436.96798330	15(14,1)-14(13,2)	-3.87680		2683.7623	3861.3131	CDMS
D2O	Water	11436.96798330, 11436.96798330	15(14,1)-14(13,2)	-3.57570		2683.7623	3861.3131	CDMS
D2O	Water	11441.07324440, 11441.07324440	11(9,3)-12(4,8)	-7.62110		1137.3006	1636.3125	CDMS
D2O	Water	11441.07329960, 11441.07329960	11(9,3)-12(4,8)	-7.62580		1137.3006	1636.3125	CDMS
D2O	Water	11495.11412370, 11495.11412370	20(9,11)-19(8,12)	-4.27090		2903.1104	4176.9043	CDMS
D2O	Water	11495.11547710, 11495.11547710	20(9,11)-19(8,12)	-4.26630		2903.1105	4176.9044	CDMS
D2O	Water	11502.30307960, 11502.30307960	16(4,12)-15(3,13)	-2.48990		1500.3291	2158.6265	CDMS
D2O	Water	11502.30343740, 11502.30343740	16(4,12)-15(3,13)	-2.48540		1500.3291	2158.6265	CDMS
D2O	Water	11504.54780610, 11504.54780610	15(6,10)-14(3,11)	-2.40610		1424.0030	2048.8109	CDMS
D2O	Water	11504.54780630, 11504.54780630	15(6,10)-14(3,11)	-2.41070		1424.0030	2048.8109	CDMS
D2O	Water	11532.11872410, 11532.11872410	13(6,7)-13(1,12)	-4.44820		1065.7673	1533.3926	CDMS
D2O	Water	11532.11878020, 11532.11878020	13(6,7)-13(1,12)	-4.44370		1065.7673	1533.3926	CDMS
D2O	Water	11533.15927090, 11533.15927090	12(5,7)-12(0,12)	-4.31620		813.9735	1171.1196	CDMS
D2O	Water	11533.15988580, 11533.15988580	12(5,7)-12(0,12)	-4.31170		813.9735	1171.1196	CDMS
D2O	Water	11543.54164090, 11543.54164090	16(13,4)-15(12,3)	-3.91120		2683.4540	3860.8695	CDMS
D2O	Water	11543.54164260, 11543.54164260	16(13,3)-15(12,4)	-3.61010		2683.4540	3860.8695	CDMS
D2O	Water	11543.54190820, 11543.54190820	16(13,4)-15(12,3)	-3.90660		2683.4540	3860.8695	CDMS
D2O	Water	11543.54190990, 11543.54190990	16(13,3)-15(12,4)	-3.60560		2683.4540	3860.8695	CDMS
D2O	Water	11567.15421510, 11567.15421510	17(5,13)-17(2,16)	-4.61210		1721.9932	2477.5498	CDMS
D2O	Water	11567.15489570, 11567.15489570	17(5,13)-17(2,16)	-4.61660		1721.9932	2477.5498	CDMS
D2O	Water	11569.35889200, 11569.35889200	19(6,13)-18(5,14)	-3.97670		2322.4583	3341.4802	CDMS
D2O	Water	11569.36004750, 11569.36004750	19(6,13)-18(5,14)	-3.97220		2322.4582	3341.4801	CDMS
D2O	Water	11575.70453890, 11575.70453890	14(2,12)-13(1,13)	-2.09120		944.3998	1358.7728	CDMS
D2O	Water	11575.70536350, 11575.70536350	14(2,12)-13(1,13)	-2.08660		944.3998	1358.7728	CDMS
D2O	Water	11579.89004010, 11579.89004010	21(9,13)-21(6,16)	-6.74060		3155.3883	4539.8738	CDMS
D2O	Water	11579.89411210, 11579.89411210	21(9,13)-21(6,16)	-6.73630		3155.3882	4539.8737	CDMS
D2O	Water	11579.96655710, 11579.96655710	17(8,9)-18(3,16)	-8.30780		2063.6074	2969.0537	CDMS
D2O	Water	11579.96714620, 11579.96714620	17(8,9)-18(3,16)	-8.31250		2063.6074	2969.0537	CDMS
D2O	Water	11581.01623550, 11581.01623550	19(10,10)-18(9,9)	-4.00730		2810.2932	4043.3618	CDMS
D2O	Water	11581.01664750, 11581.01664750	19(10,10)-18(9,9)	-4.00270		2810.2932	4043.3618	CDMS
D2O	Water	11583.28812090, 11583.28812090	19(10,9)-18(9,10)	-4.30810		2810.2285	4043.2687	CDMS
D2O	Water	11583.28872900, 11583.28872900	19(10,9)-18(9,10)	-4.30350		2810.2285	4043.2687	CDMS
D2O	Water	11590.82396070, 11590.82396070	21(8,13)-20(7,14)	-4.94680		3023.0323	4349.4441	CDMS
D2O	Water	11590.82948760, 11590.82948760	21(8,13)-20(7,14)	-4.94220		3023.0323	4349.4441	CDMS
D2O	Water	11592.45695730, 11592.45695730	11(6,5)-10(3,8)	-2.50600		752.6107	1082.8327	CDMS
D2O	Water	11592.45706390, 11592.45706390	11(6,5)-10(3,8)	-2.50150		752.6107	1082.8327	CDMS
D2O	Water	11597.74234570, 11597.74234570	16(9,7)-17(4,14)	-8.00110		1994.5695	2869.7241	CDMS
D2O	Water	11597.74285010, 11597.74285010	16(9,7)-17(4,14)	-8.00600		1994.5695	2869.7241	CDMS
D2O	Water	11602.25169750, 11602.25169750	14(3,12)-13(0,13)	-2.39180		944.3976	1358.7697	CDMS
D2O	Water	11602.25237300, 11602.25237300	14(3,12)-13(0,13)	-2.38730		944.3976	1358.7697	CDMS
D2O	Water	11606.23964090, 11606.23964090	17(12,6)-16(11,5)	-3.68890		2703.0895	3889.1205	CDMS
D2O	Water	11606.24006530, 11606.24006530	17(12,5)-16(11,6)	-3.99000		2703.0895	3889.1205	CDMS
D2O	Water	11606.24039490, 11606.24039490	17(12,6)-16(11,5)	-3.68440		2703.0895	3889.1205	CDMS
D2O	Water	11606.24081950, 11606.24081950	17(12,5)-16(11,6)	-3.98540		2703.0895	3889.1205	CDMS
D2O	Water	11607.19198130, 11607.19198130	8(7,2)-7(4,3)	-3.13500		492.8804	709.1409	CDMS
D2O	Water	11607.19201270, 11607.19201270	8(7,2)-7(4,3)	-3.13050		492.8804	709.1409	CDMS
D2O	Water	11610.74656960, 11610.74656960	15(9,6)-16(4,13)	-8.07810		1797.5720	2586.2903	CDMS
D2O	Water	11610.74690300, 11610.74690300	15(9,6)-16(4,13)	-8.08290		1797.5720	2586.2903	CDMS
D2O	Water	11619.42022660, 11619.42022660	21(10,11)-21(7,14)	-7.46130		3307.4497	4758.6550	CDMS
D2O	Water	11619.42030110, 11619.42030110	21(10,11)-21(7,14)	-7.46530		3307.4496	4758.6548	CDMS
D2O	Water	11621.77728390, 11621.77728390	18(11,8)-17(10,7)	-4.11930		2744.5504	3948.7731	CDMS
D2O	Water	11621.77836440, 11621.77836440	18(11,8)-17(10,7)	-4.11470		2744.5504	3948.7731	CDMS
D2O	Water	11621.82144070, 11621.82144070	18(11,7)-17(10,8)	-3.81820		2744.5491	3948.7712	CDMS
D2O	Water	11621.82253120, 11621.82253120	18(11,7)-17(10,8)	-3.81370		2744.5491	3948.7712	CDMS
D2O	Water	11622.87006410, 11622.87006410	18(4,14)-19(1,19)	-8.01420		1926.5367	2771.8406	CDMS
D2O	Water	11622.87198440, 11622.87198440	18(4,14)-19(1,19)	-8.01880		1926.5366	2771.8405	CDMS
D2O	Water	11632.93901370, 11632.93901370	8(7,1)-7(4,4)	-2.83310		492.0216	707.9053	CDMS
D2O	Water	11632.93905940, 11632.93905940	8(7,1)-7(4,4)	-2.82860		492.0216	707.9053	CDMS
D2O	Water	11636.56112430, 11636.56112430	22(6,16)-22(3,19)	-6.79600		3118.9053	4487.3832	CDMS
D2O	Water	11636.57136670, 11636.57136670	22(6,16)-22(3,19)	-6.80040		3118.9051	4487.3829	CDMS
D2O	Water	11660.11086840, 11660.11086840	17(9,8)-18(4,15)	-8.59490		2200.9810	3166.7025	CDMS
D2O	Water	11660.11155900, 11660.11155900	17(9,8)-18(4,15)	-8.59970		2200.9810	3166.7025	CDMS
D2O	Water	11670.52308490, 11670.52308490	7(6,2)-6(1,5)	-3.95180		279.5647	402.2289	CDMS
D2O	Water	11670.52310570, 11670.52310570	7(6,2)-6(1,5)	-3.94720		279.5647	402.2289	CDMS
D2O	Water	11671.63567570, 11671.63567570	15(3,12)-14(2,13)	-2.49270		1215.6833	1749.0870	CDMS
D2O	Water	11671.63585320, 11671.63585320	15(3,12)-14(2,13)	-2.48820		1215.6833	1749.0870	CDMS
D2O	Water	11675.22627600, 11675.22627600	15(15,0)-14(14,1)	-4.22880		2877.8856	4140.6116	CDMS
D2O	Water	11675.22627600, 11675.22627600	15(15,0)-14(14,1)	-3.92770		2877.8856	4140.6116	CDMS
D2O	Water	11675.24351470, 11675.24351470	15(15,0)-14(14,1)	-4.23330		2877.8863	4140.6126	CDMS
D2O	Water	11675.24351470, 11675.24351470	15(15,0)-14(14,1)	-3.93230		2877.8863	4140.6126	CDMS
D2O	Water	11677.66975640, 11677.66975640	13(7,6)-13(2,11)	-4.54980		1170.3697	1683.8912	CDMS
D2O	Water	11677.66979740, 11677.66979740	13(7,6)-13(2,11)	-4.55430		1170.3697	1683.8912	CDMS
D2O	Water	11696.08413390, 11696.08413390	14(9,5)-15(4,12)	-7.62830		1610.1416	2316.6213	CDMS
D2O	Water	11696.08433680, 11696.08433680	14(9,5)-15(4,12)	-7.63310		1610.1416	2316.6213	CDMS
D2O	Water	11715.62550960, 11715.62550960	21(9,13)-20(8,12)	-4.77720		3150.8607	4533.3596	CDMS
D2O	Water	11715.62609150, 11715.62609150	21(9,13)-20(8,12)	-4.78170		3150.8606	4533.3595	CDMS
D2O	Water	11745.72392920, 11745.72392920	15(10,6)-16(5,11)	-8.39970		1947.6607	2802.2332	CDMS
D2O	Water	11745.72449650, 11745.72449650	15(10,6)-16(5,11)	-8.40460		1947.6607	2802.2332	CDMS
D2O	Water	11746.60101590, 11746.60101590	14(6,8)-15(1,15)	-7.30310		1233.8516	1775.2270	CDMS
D2O	Water	11746.60187350, 11746.60187350	14(6,8)-15(1,15)	-7.29850		1233.8516	1775.2270	CDMS
D2O	Water	11783.96001430, 11783.96001430	22(9,14)-22(6,17)	-7.51660		3415.5571	4914.1965	CDMS
D2O	Water	11783.96553160, 11783.96553160	22(9,14)-22(6,17)	-7.51230		3415.5571	4914.1965	CDMS
D2O	Water	11786.43282900, 11786.43282900	7(7,1)-8(0,8)	-8.46550		388.0187	558.2691	CDMS
D2O	Water	11786.43285780, 11786.43285780	7(7,1)-8(0,8)	-8.46080		388.0187	558.2691	CDMS
D2O	Water	11799.67892510, 11799.67892510	18(9,9)-19(4,16)	-8.65050		2416.6983	3477.0698	CDMS
D2O	Water	11799.67977170, 11799.67977170	18(9,9)-19(4,16)	-8.65540		2416.6983	3477.0698	CDMS
D2O	Water	11811.99341750, 11811.99341750	19(6,14)-19(3,17)	-5.36390		2270.0509	3266.0781	CDMS
D2O	Water	11811.99532360, 11811.99532360	19(6,14)-19(3,17)	-5.36840		2270.0509	3266.0781	CDMS
D2O	Water	11816.81821840, 11816.81821840	16(14,2)-15(13,3)	-3.94430		2870.2415	4129.6135	CDMS
D2O	Water	11816.81821840, 11816.81821840	16(14,2)-15(13,3)	-4.24530		2870.2415	4129.6135	CDMS
D2O	Water	11816.81858330, 11816.81858330	16(14,2)-15(13,3)	-3.94880		2870.2416	4129.6137	CDMS
D2O	Water	11816.81858330, 11816.81858330	16(14,2)-15(13,3)	-4.24980		2870.2416	4129.6137	CDMS
D2O	Water	11826.92401740, 11826.92401740	15(4,12)-14(1,13)	-2.18710		1215.6378	1749.0216	CDMS
D2O	Water	11826.92422920, 11826.92422920	15(4,12)-14(1,13)	-2.19160		1215.6378	1749.0216	CDMS
D2O	Water	11835.50771850, 11835.50771850	9(5,5)-8(0,8)	-3.07380		388.0187	558.2691	CDMS
D2O	Water	11835.50774390, 11835.50774390	9(5,5)-8(0,8)	-3.06930		388.0187	558.2691	CDMS
D2O	Water	11836.73746330, 11836.73746330	21(9,12)-20(8,13)	-5.07300		3147.5804	4528.6400	CDMS
D2O	Water	11836.74029150, 11836.74029150	21(9,12)-20(8,13)	-5.06840		3147.5804	4528.6400	CDMS
D2O	Water	11842.12118440, 11842.12118440	16(7,9)-17(2,16)	-7.66850		1721.9932	2477.5498	CDMS
D2O	Water	11842.12121380, 11842.12121380	16(7,9)-17(2,16)	-7.67320		1721.9932	2477.5498	CDMS
D2O	Water	11848.98490590, 11848.98490590	13(9,4)-14(4,11)	-7.86480		1432.4903	2061.0221	CDMS
D2O	Water	11848.98502530, 11848.98502530	13(9,4)-14(4,11)	-7.86950		1432.4903	2061.0221	CDMS
D2O	Water	11849.46161690, 11849.46161690	22(8,15)-22(5,18)	-7.27220		3275.6688	4712.9296	CDMS
D2O	Water	11849.46257370, 11849.46257370	22(8,15)-22(5,18)	-7.26780		3275.6689	4712.9298	CDMS
D2O	Water	11869.43079760, 11869.43079760	18(5,14)-19(0,19)	-8.33940		1926.5366	2771.8405	CDMS
D2O	Water	11869.43351600, 11869.43351600	18(5,14)-19(0,19)	-8.34400		1926.5366	2771.8405	CDMS
D2O	Water	11915.40000180, 11915.40000180	17(13,5)-16(12,4)	-4.00550		2880.9910	4145.0796	CDMS
D2O	Water	11915.40001230, 11915.40001230	17(13,4)-16(12,5)	-4.30660		2880.9910	4145.0796	CDMS
D2O	Water	11915.40103500, 11915.40103500	17(13,5)-16(12,4)	-4.00100		2880.9910	4145.0796	CDMS
D2O	Water	11915.40104550, 11915.40104550	17(13,4)-16(12,5)	-4.30200		2880.9910	4145.0796	CDMS
D2O	Water	11917.34974790, 11917.34974790	20(10,11)-19(9,10)	-4.77820		3042.5089	4377.4665	CDMS
D2O	Water	11917.34999660, 11917.34999660	20(10,11)-19(9,10)	-4.77370		3042.5089	4377.4665	CDMS
D2O	Water	11922.92534930, 11922.92534930	20(10,10)-19(9,11)	-4.47670		3042.3514	4377.2398	CDMS
D2O	Water	11922.92607580, 11922.92607580	20(10,10)-19(9,11)	-4.47220		3042.3515	4377.2400	CDMS
D2O	Water	11923.03876730, 11923.03876730	9(7,3)-8(4,4)	-2.64990		593.5867	854.0339	CDMS
D2O	Water	11923.03879450, 11923.03879450	9(7,3)-8(4,4)	-2.64530		593.5867	854.0339	CDMS
D2O	Water	11925.45990770, 11925.45990770	20(10,10)-20(7,13)	-6.75330		3042.2669	4377.1183	CDMS
D2O	Water	11925.46155100, 11925.46155100	20(10,10)-20(7,13)	-6.75730		3042.2668	4377.1181	CDMS
D2O	Water	11944.00496490, 11944.00496490	11(4,7)-10(1,10)	-3.08870		581.8481	837.1448	CDMS
D2O	Water	11944.00518020, 11944.00518020	11(4,7)-10(1,10)	-3.08410		581.8481	837.1448	CDMS
D2O	Water	11957.15240190, 11957.15240190	9(6,4)-9(1,9)	-4.88190		480.1803	690.8684	CDMS
D2O	Water	11957.15250220, 11957.15250220	9(6,4)-9(1,9)	-4.87740		480.1803	690.8684	CDMS
D2O	Water	11960.73549210, 11960.73549210	22(9,14)-21(8,13)	-5.61400		3409.6607	4905.7130	CDMS
D2O	Water	11960.73592440, 11960.73592440	22(9,14)-21(8,13)	-5.61860		3409.6605	4905.7127	CDMS
D2O	Water	11969.37237100, 11969.37237100	18(12,7)-17(11,6)	-4.40850		2911.8216	4189.4377	CDMS
D2O	Water	11969.37338320, 11969.37338320	18(12,7)-17(11,6)	-4.40390		2911.8216	4189.4377	CDMS
D2O	Water	11969.37411640, 11969.37411640	18(12,6)-17(11,7)	-4.10740		2911.8215	4189.4375	CDMS
D2O	Water	11969.37512960, 11969.37512960	18(12,6)-17(11,7)	-4.10290		2911.8215	4189.4375	CDMS
D2O	Water	11974.37086000, 11974.37086000	19(11,9)-18(10,8)	-4.26110		2964.7452	4265.5825	CDMS
D2O	Water	11974.37206350, 11974.37206350	19(11,9)-18(10,8)	-4.25660		2964.7452	4265.5825	CDMS
D2O	Water	11974.50710450, 11974.50710450	19(11,8)-18(10,9)	-4.56220		2964.7413	4265.5769	CDMS
D2O	Water	11974.50833900, 11974.50833900	19(11,8)-18(10,9)	-4.55760		2964.7413	4265.5769	CDMS
D2O	Water	11989.58641840, 11989.58641840	8(7,2)-9(0,9)	-8.24000		480.1250	690.7888	CDMS
D2O	Water	11989.58653390, 11989.58653390	8(7,2)-9(0,9)	-8.23530		480.1250	690.7888	CDMS
D2O	Water	11992.49786670, 11992.49786670	16(6,11)-15(3,12)	-2.96640		1605.0071	2309.2339	CDMS
D2O	Water	11992.49803960, 11992.49803960	16(6,11)-15(3,12)	-2.97090		1605.0071	2309.2339	CDMS
D2O	Water	11994.05598140, 11994.05598140	9(7,2)-8(4,5)	-2.94920		591.2183	850.6264	CDMS
D2O	Water	11994.05603340, 11994.05603340	9(7,2)-8(4,5)	-2.94460		591.2183	850.6264	CDMS
D2O	Water	11996.74185840, 11996.74185840	20(5,15)-20(2,18)	-5.81670		2485.7587	3576.4317	CDMS
D2O	Water	11996.74471210, 11996.74471210	20(5,15)-20(2,18)	-5.82120		2485.7587	3576.4317	CDMS
D2O	Water	12025.22288040, 12025.22288040	18(8,10)-19(3,17)	-8.45860		2270.0509	3266.0781	CDMS
D2O	Water	12025.22325530, 12025.22325530	18(8,10)-19(3,17)	-8.46330		2270.0509	3266.0781	CDMS
D2O	Water	12043.87145870, 12043.87145870	16(3,13)-16(0,16)	-4.56170		1392.8371	2003.9704	CDMS
D2O	Water	12043.87208200, 12043.87208200	16(3,13)-16(0,16)	-4.55720		1392.8371	2003.9704	CDMS
D2O	Water	12050.31496970, 12050.31496970	23(9,15)-23(6,18)	-7.72730		3685.0206	5301.8922	CDMS
D2O	Water	12050.32138220, 12050.32138220	23(9,15)-23(6,18)	-7.72310		3685.0207	5301.8923	CDMS
D2O	Water	12059.55094920, 12059.55094920	16(15,1)-15(14,2)	-4.30380		3065.2581	4410.1973	CDMS
D2O	Water	12059.55094920, 12059.55094920	16(15,1)-15(14,2)	-4.60480		3065.2581	4410.1973	CDMS
D2O	Water	12059.55687210, 12059.55687210	16(15,1)-15(14,2)	-4.30830		3065.2584	4410.1977	CDMS
D2O	Water	12059.55687210, 12059.55687210	16(15,1)-15(14,2)	-4.60930		3065.2584	4410.1977	CDMS
D2O	Water	12060.83462250, 12060.83462250	21(7,15)-21(4,18)	-6.34200		2875.7582	4137.5508	CDMS
D2O	Water	12060.83769670, 12060.83769670	21(7,15)-21(4,18)	-6.34650		2875.7581	4137.5506	CDMS
D2O	Water	12062.61096310, 12062.61096310	12(9,3)-13(4,10)	-7.59680		1264.8986	1819.8965	CDMS
D2O	Water	12062.61103870, 12062.61103870	12(9,3)-13(4,10)	-7.60160		1264.8986	1819.8965	CDMS
D2O	Water	12066.94125490, 12066.94125490	14(7,7)-14(2,12)	-4.44500		1330.5237	1914.3158	CDMS
D2O	Water	12066.94130080, 12066.94130080	14(7,7)-14(2,12)	-4.44960		1330.5237	1914.3158	CDMS
D2O	Water	12067.54712160, 12067.54712160	10(9,2)-11(4,7)	-8.29940		980.2572	1410.3633	CDMS
D2O	Water	12067.54714770, 12067.54714770	10(9,2)-11(4,7)	-8.30410		980.2572	1410.3633	CDMS
D2O	Water	12071.71305000, 12071.71305000	21(7,14)-20(6,15)	-4.95180		2904.7806	4179.3073	CDMS
D2O	Water	12071.71657200, 12071.71657200	21(7,14)-20(6,15)	-4.94720		2904.7806	4179.3073	CDMS
D2O	Water	12075.57089630, 12075.57089630	18(5,13)-17(4,14)	-3.26700		1994.5695	2869.7241	CDMS
D2O	Water	12075.57112700, 12075.57112700	18(5,13)-17(4,14)	-3.26240		1994.5695	2869.7241	CDMS
D2O	Water	12091.52252150, 12091.52252150	16(5,12)-15(2,13)	-2.80700		1499.8646	2157.9582	CDMS
D2O	Water	12091.52280650, 12091.52280650	16(5,12)-15(2,13)	-2.81160		1499.8646	2157.9582	CDMS
D2O	Water	12092.96134910, 12092.96134910	22(8,14)-21(7,15)	-5.19420		3278.0643	4716.3762	CDMS
D2O	Water	12092.96899720, 12092.96899720	22(8,14)-21(7,15)	-5.18960		3278.0643	4716.3762	CDMS
D2O	Water	12101.71574820, 12101.71574820	8(6,3)-7(1,6)	-3.79140		364.0468	523.7791	CDMS
D2O	Water	12101.71576180, 12101.71576180	8(6,3)-7(1,6)	-3.78680		364.0468	523.7791	CDMS
D2O	Water	12107.08903640, 12107.08903640	12(5,7)-11(2,10)	-2.41390		794.8293	1143.5755	CDMS
D2O	Water	12107.08905250, 12107.08905250	12(5,7)-11(2,10)	-2.40940		794.8293	1143.5755	CDMS
D2O	Water	12130.07575010, 12130.07575010	18(4,14)-18(1,17)	-5.02910		1909.6181	2747.4987	CDMS
D2O	Water	12130.07580160, 12130.07580160	18(4,14)-18(1,17)	-5.03360		1909.6181	2747.4987	CDMS
D2O	Water	12133.63955850, 12133.63955850	16(4,13)-16(1,16)	-4.86480		1392.8373	2003.9707	CDMS
D2O	Water	12133.63973370, 12133.63973370	16(4,13)-16(1,16)	-4.86030		1392.8373	2003.9707	CDMS
D2O	Water	12157.59580530, 12157.59580530	23(9,15)-22(8,14)	-5.88440		3681.4421	5296.7435	CDMS
D2O	Water	12157.59652870, 12157.59652870	23(9,15)-22(8,14)	-5.87980		3681.4423	5296.7438	CDMS
D2O	Water	12171.24963540, 12171.24963540	19(10,9)-19(7,12)	-6.67690		2790.6162	4015.0511	CDMS
D2O	Water	12171.25146620, 12171.25146620	19(10,9)-19(7,12)	-6.68090		2790.6161	4015.0510	CDMS
D2O	Water	12171.57215720, 12171.57215720	12(6,6)-11(3,9)	-2.33580		882.4113	1269.5857	CDMS
D2O	Water	12171.57230600, 12171.57230600	12(6,6)-11(3,9)	-2.33130		882.4113	1269.5857	CDMS
D2O	Water	12188.15478230, 12188.15478230	22(9,13)-21(8,14)	-5.30050		3403.5990	4896.9916	CDMS
D2O	Water	12188.15986460, 12188.15986460	22(9,13)-21(8,14)	-5.29590		3403.5991	4896.9917	CDMS
D2O	Water	12193.00241830, 12193.00241830	17(14,4)-16(13,3)	-4.34670		3068.5051	4414.8690	CDMS
D2O	Water	12193.00241850, 12193.00241850	17(14,3)-16(13,4)	-4.64770		3068.5051	4414.8690	CDMS
D2O	Water	12193.00473620, 12193.00473620	17(14,4)-16(13,3)	-4.34210		3068.5051	4414.8690	CDMS
D2O	Water	12193.00473640, 12193.00473640	17(14,3)-16(13,4)	-4.64320		3068.5051	4414.8690	CDMS
D2O	Water	12193.31059640, 12193.31059640	10(7,4)-9(4,5)	-2.87620		708.1702	1018.8931	CDMS
D2O	Water	12193.31060880, 12193.31060880	10(7,4)-9(4,5)	-2.87160		708.1702	1018.8931	CDMS
D2O	Water	12244.02494130, 12244.02494130	21(10,12)-20(9,11)	-4.96880		3286.5462	4728.5797	CDMS
D2O	Water	12244.02505100, 12244.02505100	21(10,12)-20(9,11)	-4.97340		3286.5462	4728.5797	CDMS
D2O	Water	12256.79096320, 12256.79096320	21(10,11)-20(9,12)	-5.27330		3286.1892	4728.0660	CDMS
D2O	Water	12256.79190010, 12256.79190010	21(10,11)-20(9,12)	-5.26880		3286.1893	4728.0662	CDMS
D2O	Water	12272.42722860, 12272.42722860	16(16,0)-15(15,1)	-4.68100		3267.3292	4700.9309	CDMS
D2O	Water	12272.42722860, 12272.42722860	16(16,0)-15(15,1)	-4.98210		3267.3292	4700.9309	CDMS
D2O	Water	12272.44977670, 12272.44977670	16(16,0)-15(15,1)	-4.68550		3267.3305	4700.9327	CDMS
D2O	Water	12272.44977670, 12272.44977670	16(16,0)-15(15,1)	-4.98660		3267.3305	4700.9327	CDMS
D2O	Water	12275.69117050, 12275.69117050	9(7,3)-10(0,10)	-7.71310		581.8235	837.1094	CDMS
D2O	Water	12275.69141090, 12275.69141090	9(7,3)-10(0,10)	-7.70840		581.8235	837.1094	CDMS
D2O	Water	12283.18433890, 12283.18433890	18(13,6)-17(12,5)	-4.72680		3090.2320	4446.1290	CDMS
D2O	Water	12283.18439220, 12283.18439220	18(13,5)-17(12,6)	-4.42580		3090.2320	4446.1290	CDMS
D2O	Water	12283.18534800, 12283.18534800	18(13,6)-17(12,5)	-4.72230		3090.2320	4446.1290	CDMS
D2O	Water	12283.18540140, 12283.18540140	18(13,5)-17(12,6)	-4.42120		3090.2320	4446.1290	CDMS
D2O	Water	12292.63603450, 12292.63603450	14(6,8)-14(1,13)	-4.48020		1215.6378	1749.0216	CDMS
D2O	Water	12292.63611300, 12292.63611300	14(6,8)-14(1,13)	-4.47570		1215.6378	1749.0216	CDMS
D2O	Water	12295.01188680, 12295.01188680	24(9,16)-23(8,15)	-6.78290		3966.4007	5706.7330	CDMS
D2O	Water	12295.01619220, 12295.01619220	24(9,16)-23(8,15)	-6.77830		3966.4010	5706.7335	CDMS
D2O	Water	12321.22074440, 12321.22074440	20(11,10)-19(10,9)	-5.03040		3196.6054	4599.1757	CDMS
D2O	Water	12321.22184150, 12321.22184150	20(11,10)-19(10,9)	-5.02580		3196.6054	4599.1757	CDMS
D2O	Water	12321.60497100, 12321.60497100	20(11,9)-19(10,10)	-4.72930		3196.5943	4599.1597	CDMS
D2O	Water	12321.60615360, 12321.60615360	20(11,9)-19(10,10)	-4.72470		3196.5944	4599.1598	CDMS
D2O	Water	12327.83157530, 12327.83157530	19(12,8)-18(11,7)	-4.55090		3132.2113	4506.5275	CDMS
D2O	Water	12327.83262700, 12327.83262700	19(12,8)-18(11,7)	-4.54640		3132.2114	4506.5276	CDMS
D2O	Water	12327.83790600, 12327.83790600	19(12,7)-18(11,8)	-4.85190		3132.2111	4506.5272	CDMS
D2O	Water	12327.83896120, 12327.83896120	19(12,7)-18(11,8)	-4.84740		3132.2112	4506.5273	CDMS
D2O	Water	12328.04841890, 12328.04841890	11(9,2)-12(4,9)	-8.05040		1107.7143	1593.7446	CDMS
D2O	Water	12328.04847140, 12328.04847140	11(9,2)-12(4,9)	-8.05520		1107.7143	1593.7446	CDMS
D2O	Water	12332.74005540, 12332.74005540	27(9,19)-26(8,18)	-8.42790		4898.5395	7047.8651	CDMS
D2O	Water	12332.78906870, 12332.78906870	27(9,19)-26(8,18)	-8.42330		4898.5401	7047.8660	CDMS
D2O	Water	12348.62084530, 12348.62084530	7(7,1)-7(2,6)	-6.11450		369.2661	531.2885	CDMS
D2O	Water	12348.62087000, 12348.62087000	7(7,1)-7(2,6)	-6.10990		369.2661	531.2885	CDMS
D2O	Water	12354.12378520, 12354.12378520	18(10,8)-18(7,11)	-6.03320		2552.6560	3672.6815	CDMS
D2O	Water	12354.12520590, 12354.12520590	18(10,8)-18(7,11)	-6.03720		2552.6560	3672.6815	CDMS
D2O	Water	12356.41175030, 12356.41175030	6(6,0)-5(1,5)	-5.42260		170.2430	244.9403	CDMS
D2O	Water	12356.41175400, 12356.41175400	6(6,0)-5(1,5)	-5.41800		170.2430	244.9403	CDMS
D2O	Water	12357.31431130, 12357.31431130	10(7,3)-9(4,6)	-2.57360		702.7021	1011.0258	CDMS
D2O	Water	12357.31435360, 12357.31435360	10(7,3)-9(4,6)	-2.56910		702.7021	1011.0258	CDMS
